http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	WoCID	DOI	Citation	X	Y	Accuracy	Crayfish_scientific_name	Pathogen_symbiont_present	Year_of_observation	Contributor
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L22	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2358	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	57.71	26.86	Low	Astacus astacus	Aphanomyces astaci	2010	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L23	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2359	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	58.69	26.3	Low	Astacus astacus	Aphanomyces astaci	2010	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L24	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2360	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	58.95	27.05	Low	Astacus astacus	Aphanomyces astaci	2015	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L25	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2361	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	63.6159	24.4127	High	Astacus astacus	Aphanomyces astaci	2006	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L26	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2362	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	64.0243	24.2031	High	Astacus astacus	Aphanomyces astaci	2006	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L27	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2363	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	64.3926	24.3264	High	Astacus astacus	Aphanomyces astaci	2003	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L28	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2364	10.1016/j.fgb.2012.05.014	Makkonen, J., Jussila, J., & Kokko, H. (2012). The diversity of the pathogenic Oomycete (Aphanomyces astaci) chitinase genes within the genotypes indicate adaptation to its hosts. Fungal Genetics and Biology, 49(8), 635-642.	64.2661	24.8224	High	Astacus astacus	Aphanomyces astaci	2003	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L29	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2365	10.1016/j.fgb.2012.05.014	Makkonen, J., Jussila, J., & Kokko, H. (2012). The diversity of the pathogenic Oomycete (Aphanomyces astaci) chitinase genes within the genotypes indicate adaptation to its hosts. Fungal Genetics and Biology, 49(8), 635-642.	64.1709	25.161	High	Astacus astacus	Aphanomyces astaci	2004	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L30	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2366	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	60.7841	27.8911	High	Astacus astacus	Aphanomyces astaci	2006	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L31	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2367	10.1017/S0031182018000227	Makkonen, J., Jussila, J., Panteleit, J., Keller, N. S., Schrimpf, A., Theissinger, K., ... & Kokko, H. (2018). MtDNA allows the sensitive detection and haplotyping of the crayfish plague disease agent Aphanomyces astaci showing clues about its origin and	61.83	22.17	Low	Astacus astacus	Aphanomyces astaci	2014	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L32	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2368	10.1016/j.fgb.2012.05.014	Makkonen, J., Jussila, J., & Kokko, H. (2012). The diversity of the pathogenic Oomycete (Aphanomyces astaci) chitinase genes within the genotypes indicate adaptation to its hosts. Fungal Genetics and Biology, 49(8), 635-642.	65.93	24.71	Low	Astacus astacus	Aphanomyces astaci	2007	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L33	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2369	10.1016/j.fgb.2012.05.014	Makkonen, J., Jussila, J., & Kokko, H. (2012). The diversity of the pathogenic Oomycete (Aphanomyces astaci) chitinase genes within the genotypes indicate adaptation to its hosts. Fungal Genetics and Biology, 49(8), 635-642.	64.127583	29.496944	High	Astacus astacus	Aphanomyces astaci	2009	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L34	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2370	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	62.1837	30.3746	High	Astacus astacus	Aphanomyces astaci	2000	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L35	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2371	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	61.5311	29.5257	High	Astacus astacus	Aphanomyces astaci	2006	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L36	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2372	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	61.5465	28.7248	High	Astacus astacus	Aphanomyces astaci	2002	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L37	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2373	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	61.2154	28.9267	High	Astacus astacus	Aphanomyces astaci	2004	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L38	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2374	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	61.3318	29.3065	High	Astacus astacus	Aphanomyces astaci	2000	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L39	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2375	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	61.9366	28.4997	High	Astacus astacus	Aphanomyces astaci	1998	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L40	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2376	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	61.8849	29.1393	High	Astacus astacus	Aphanomyces astaci	2002	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L41	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2377	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	62.6114	29.4034	High	Astacus astacus	Aphanomyces astaci	2001	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L42	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2378	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	63.3708	29.154	High	Astacus astacus	Aphanomyces astaci	2004	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L43	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2379	10.1016/j.fgb.2012.05.014	Makkonen, J., Jussila, J., & Kokko, H. (2012). The diversity of the pathogenic Oomycete (Aphanomyces astaci) chitinase genes within the genotypes indicate adaptation to its hosts. Fungal Genetics and Biology, 49(8), 635-642.	63.081	30.0595	High	Astacus astacus	Aphanomyces astaci	2003	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L44	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2380	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	63.6364	28.8765	High	Astacus astacus	Aphanomyces astaci	1998	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L45	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2381	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	62.7957	30.7603	High	Astacus astacus	Aphanomyces astaci	2001	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L46	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2382	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	62.6474	31.0553	High	Astacus astacus	Aphanomyces astaci	1999	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L47	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2383	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	61.5409	25.7557	High	Astacus astacus	Aphanomyces astaci	2001	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L48	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2384	10.3354/dao02575	Viljamaa-Dirks, S., Heinikainen, S., Torssonen, H., Pursiainen, M., Mattila, J., & Pelkonen, S. (2013). Distribution and epidemiology of genotypes of the crayfish plague agent Aphanomyces astaci from noble crayfish Astacus astacus in Finland. Diseases of Aquatic Organisms, 103(3), 199-208.	62.1248	25.8012	High	Astacus astacus	Aphanomyces astaci	1998	Mihaela C. Ion
